"Country";"Data";"Sequence number";"Timestamp"
"";"972a0070010202020270195e";"350";"2021-04-17 13:00:39"
"";"972a0070010202020270195d";"349";"2021-04-17 11:00:42"
"";"972a0070010202020270185c";"348";"2021-04-17 09:00:36"
"";"972a0070010202020270195b";"347";"2021-04-17 07:00:34"
"";"972a0070010202020270195a";"346";"2021-04-17 05:00:33"
"";"972a00700102020202701659";"345";"2021-04-17 03:00:32"
"";"972a00700102020202701958";"344";"2021-04-17 01:00:30"
"";"972a00700102020202701857";"343";"2021-04-16 23:00:32"
"";"972a00700102020202701656";"342";"2021-04-16 21:00:31"
"";"972a00700102020202701755";"341";"2021-04-16 19:00:53"
"";"972a00700102020202701953";"339";"2021-04-16 15:00:50"
"";"972a00700102020202701852";"338";"2021-04-16 13:00:43"
"";"972a00700102020202701851";"337";"2021-04-16 11:00:47"
"";"972a0070010202020270154f";"335";"2021-04-16 07:00:39"
"";"972a0070010202020270194e";"334";"2021-04-16 05:00:37"
"";"972a0070010202020270194d";"333";"2021-04-16 03:00:36"
"";"972a0070010202020270184c";"332";"2021-04-16 01:00:35"
"";"972a0070010202020270174b";"331";"2021-04-15 23:00:34"
"";"972a0070010202020270174a";"330";"2021-04-15 21:00:35"
"";"972a00700102020202701849";"329";"2021-04-15 19:00:55"
"";"972a00700102020202701847";"327";"2021-04-15 15:00:49"
"";"972a00700102020202701746";"326";"2021-04-15 13:00:47"
"";"972a00700102020202701845";"325";"2021-04-15 11:00:45"
"";"972a00700102020202701844";"324";"2021-04-15 09:00:47"
"";"972a00700102020202701a43";"323";"2021-04-15 07:00:43"
"";"972a00700102020202701842";"322";"2021-04-15 05:00:42"
"";"972a00700102020202701641";"321";"2021-04-15 03:00:40"
"";"972a00700102020202701840";"320";"2021-04-15 01:00:39"
"";"972a0070010202020270183f";"319";"2021-04-14 23:00:37"
"";"972a0070010202020270193e";"318";"2021-04-14 21:01:00"
"";"972a0070010202020270173d";"317";"2021-04-14 19:00:56"
"";"972a0070010202020270183c";"316";"2021-04-14 17:00:54"
"";"972a0070010202020270183b";"315";"2021-04-14 15:00:53"
"";"972a0070010202020270183a";"314";"2021-04-14 13:00:54"
"";"972a00700102020202701b39";"313";"2021-04-14 11:00:50"
"";"972a00700102020202701838";"312";"2021-04-14 09:00:49"
"";"972a00700102020202701737";"311";"2021-04-14 07:00:47"
"";"972a00700102020202701536";"310";"2021-04-14 05:00:51"
"";"972a00700102020202701935";"309";"2021-04-14 03:00:45"
"";"972a00700102020202701834";"308";"2021-04-14 01:00:43"
"";"972a00700102020202701533";"307";"2021-04-13 23:00:42"
"";"972a00700102020202701832";"306";"2021-04-13 21:01:02"
"";"972a00700102020202701931";"305";"2021-04-13 19:01:03"
"";"972a00700102020202701730";"304";"2021-04-13 17:00:59"
"";"972a0070010202020270172e";"302";"2021-04-13 13:00:56"
"";"972a0070010202020270182d";"301";"2021-04-13 11:00:55"
"";"972a0070010202020270182c";"300";"2021-04-13 09:00:53"
